egg,version,title,productId,publisher,platform,genre,year,mystery1,gameFilename,mystery2,mystery3,owned,thumbnailFilename,description,mystery5,manualFilename,manualDate,musicFilename,musicDate,lastUpdate,mystery6,mystery7,mystery8,mystery9,region,mystery10
egg,1.0.0.3,白と黒の伝説 〜百鬼編〜（音楽データのみ）,173,スタジオＷＩＮＧ,MP3,ADV,1985,0,STW1003a.bin,200705070000,0,False,STW1003.bmp,音楽データのみ,1,,,,,20020517,20021231,20020517,20021231,,0,210
egg,1.0.0.3,Marvel PuttGolf,740,COMPILE,PC-9801,TAB,1991,0,ECOM3005a.bin,200902010000,0,False,COM3005.bmp,This game offers a variety of original courses that couldn't exist in reality. Delicate shot power and a polite direction adjust,1,,,,,20090201,20261231,20090201,20261231,,1,550
egg,1.0.0.3,T.N.T,765,BOTHTEC,MSX2,ACT,1987,0,BOT3008a.bin,200905130000,0,False,BOT3008.bmp,A vertically scrolling shooting action game that takes place on the battlefield. Penetrate far behind the enemy front and rescue,1,,,,,20090514,20261231,20090514,20261231,,1,550
egg,1.0.0.3,IRONCLAD ,1044,ＳＮＫプレイモア,NEOGEO,SHT,1996,0,SKP0011a.bin,201209040000,0,False,SKP0011.bmp,日本でしか発売されなかったスチームパンクシューティング。幻の海外版で、日本版とは違った雰囲気に酔いしれろ！,1,SKP0011m.bin,201209040000,,,20120904,20181231,20120904,20181231,,0,540
egg,1.0.0.3,Jino-Brodiaea's WanderNumber,1264,コンパイル,Windows,TAB,2000,0,COM5032a.bin,201503120000,0,False,,,1,COM5032m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,Jino-Brodiaea's WanderNumber,1264,コンパイル,Windows,TAB,2000,0,COM5032a.bin,201503120000,0,False,,,1,COM5032m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,After Devil Force 外伝-THE SWORD BATTLE of QUAUDA-,1265,コンパイル,Windows,TAB,1999,0,COM5032a.bin,201503120000,0,False,,,1,COM5032m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,After Devil Force 外伝-THE SWORD BATTLE of QUAUDA-,1265,コンパイル,Windows,TAB,1999,0,COM5032a.bin,201503120000,0,False,,,1,COM5032m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,幻世牌遊記,1266,コンパイル,Windows,TAB,1998,0,COM5033a.bin,201503120000,0,False,,,1,COM5033m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,幻世牌遊記,1266,コンパイル,Windows,TAB,1998,0,COM5033a.bin,201503120000,0,False,,,1,COM5033m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,DEVIL FORCE III〜剣と花束〜,1267,コンパイル,Windows,SLG,1996,0,COM5034a.bin,201503120000,0,False,,,1,COM5034m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,DEVIL FORCE III〜剣と花束〜,1267,コンパイル,Windows,SLG,1996,0,COM5034a.bin,201503120000,0,False,,,1,COM5034m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,After Devil Force 〜狂王の後継者〜,1268,コンパイル,Windows,SLG,1998,0,COM5035a.bin,201503120000,0,False,,,1,COM5035m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,After Devil Force 〜狂王の後継者〜,1268,コンパイル,Windows,SLG,1998,0,COM5035a.bin,201503120000,0,False,,,1,COM5035m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,GEO CONFLICT 3-Hell's Gate Crusaders-,1269,コンパイル,Windows,SLG,1997,0,COM5036a.bin,201503120000,0,False,,,1,COM5036m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,GEO CONFLICT 3-Hell's Gate Crusaders-,1269,コンパイル,Windows,SLG,1997,0,COM5036a.bin,201503120000,0,False,,,1,COM5036m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,大海鮮,1270,コンパイル,Windows,ETC,1997,0,COM5038a.bin,201503120000,0,False,,,1,COM5038m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,大海鮮,1270,コンパイル,Windows,ETC,1997,0,COM5038a.bin,201503120000,0,False,,,1,COM5038m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,クイズつなひきチャンプ,1271,コンパイル,Windows,ETC,1999,0,COM5039a.bin,201503120000,0,False,,,1,COM5039m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,クイズつなひきチャンプ,1271,コンパイル,Windows,ETC,1999,0,COM5039a.bin,201503120000,0,False,,,1,COM5039m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,ポリポリ！スピード大作戦,1272,コンパイル,Windows,ETC,1998,0,COM5040a.bin,201503120000,0,False,,,1,COM5040m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
egg,1.0.0.3,ポリポリ！スピード大作戦,1272,コンパイル,Windows,ETC,1998,0,COM5040a.bin,201503120000,0,False,,,1,COM5040m.bin,201503120000,,,20241231,20241231,20241231,20241231,,0,0
